S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
5567,5554140,HN362125,7/1/07 12:00 PM,041XX W 69TH ST,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,FALSE,833,8,13,65,6,1150046,1858524,2007,04/15/2016 08:55:02 AM,41.76769333,-87.72557609,"(41.767693328, -87.725576091)",No
5568,5554142,HN363444,7/24/07 6:00 PM,091XX S UNIVERSITY AVE,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,413,4,8,47,08B,1185472,1844708,2007,04/15/2016 08:55:02 AM,41.72902053,-87.59615857,"(41.729020533, -87.596158569)",No
5569,5554143,HN343495,7/14/07 12:00 PM,006XX E 84TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,High,RESIDENCE,FALSE,FALSE,632,6,6,44,6,1182020,1849423,2007,04/15/2016 08:55:02 AM,41.74203947,-87.60865852,"(41.742039467, -87.60865852)",Yes
5570,5554144,HN360251,7/23/07 2:04 PM,046XX S COTTAGE GROVE AVE,870,THEFT,POCKET-PICKING,Low,CURRENCY EXCHANGE,FALSE,FALSE,222,2,4,38,6,1182375,1874350,2007,04/15/2016 08:55:02 AM,41.8104333,-87.60658599,"(41.810433304, -87.606585987)",No
5571,5554145,HN358241,7/22/07 1:45 PM,100XX W OHARE ST,870,THEFT,POCKET-PICKING,Low,AIRPORT/AIRCRAFT,FALSE,FALSE,1651,16,41,76,6,1100658,1934241,2007,04/15/2016 08:55:02 AM,41.97629041,-87.90522722,"(41.976290414, -87.905227221)",No
5572,5554146,HN360819,7/23/07 5:58 PM,059XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,FALSE,FALSE,233,2,20,40,14,1178173,1865686,2007,04/15/2016 08:55:02 AM,41.78675496,-87.62226117,"(41.786754957, -87.62226117)",Yes
5573,5554147,HN352999,7/19/07 9:15 PM,118XX S PERRY AVE,2027,NARCOTICS,POSS: CRACK,High,ALLEY,FALSE,FALSE,522,5,34,53,18,1177710,1826384,2007,04/15/2016 08:55:02 AM,41.67891581,-87.62514444,"(41.678915812, -87.62514444)",Yes
5574,5554150,HN363663,7/27/07 5:05 AM,047XX W BELMONT AVE,610,BURGLARY,FORCIBLE ENTRY,Low,SMALL RETAIL STORE,FALSE,FALSE,2521,25,31,19,5,1144376,1920858,2007,04/15/2016 08:55:02 AM,41.93885424,-87.74479347,"(41.938854238, -87.744793466)",No
5575,5554153,HN359720,7/23/07 10:00 AM,080XX S ASHLAND AVE,041A,BATTERY,AGGRAVATED: HANDGUN,High,SIDEWALK,FALSE,FALSE,611,6,21,71,04B,1167069,1851501,2007,04/15/2016 08:55:02 AM,41.74807424,-87.66337939,"(41.748074236, -87.663379392)",Yes
5576,5554154,HN363496,7/24/07 11:45 PM,080XX S SOUTH SHORE DR,498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,High,SIDEWALK,TRUE,TRUE,422,4,7,46,04B,1198550,1852220,2007,04/15/2016 08:55:02 AM,41.74931669,-87.54800053,"(41.74931669, -87.548000534)",Yes
5577,5554155,HN361290,7/23/07 10:52 PM,053XX W ADAMS ST,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,TRUE,FALSE,1522,15,29,25,18,1140896,1898816,2007,04/15/2016 08:55:02 AM,41.87843334,-87.75812676,"(41.878433338, -87.758126757)",Yes
