S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
1,5542127,HN346682,1/16/07 5:05 AM,013XX W 14TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),High,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1231,12,2,28,18,1167761,1893524,2007,04/15/2016 08:55:02 AM,41.86337523,-87.65963666,"(41.863375231, -87.659636657)",Yes
2,5542130,HN351831,1/19/07 6:05 AM,082XX S MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,614,6,21,71,14,1166775,1850073,2007,04/15/2016 08:55:02 AM,41.74416188,-87.66449738,"(41.744161877, -87.664497379)",Yes
3,5542131,HN351855,1/19/07 8:55 AM,027XX S PRINCETON AVE,850,THEFT,ATTEMPT THEFT,Low,STREET,FALSE,FALSE,2113,9,11,34,6,1174740,1886293,2007,04/15/2016 08:55:02 AM,41.84337969,-87.63423361,"(41.843379692, -87.634233611)",No
4,5542133,HN348827,1/17/07 7:45 PM,035XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1021,10,24,29,18,1152873,1894479,2007,04/15/2016 08:55:02 AM,41.86630345,-87.71426427,"(41.866303448, -87.714264266)",Yes
5,5542136,HN351949,1/19/07 10:25 AM,079XX S PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,611,6,21,71,08B,1166393,1851994,2007,04/15/2016 08:55:02 AM,41.74944152,-87.66584247,"(41.749441515, -87.665842468)",No
6,5542137,HN353838,1/20/07 12:00 AM,020XX N DAYTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1812,18,43,7,14,1170289,1913850,2007,04/15/2016 08:55:02 AM,41.91909628,-87.64976219,"(41.919096283, -87.649762191)",Yes
7,5542139,HN348646,1/17/07 6:34 PM,012XX S HARDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,VACANT LOT/LAND,TRUE,FALSE,1011,10,24,29,18,1150242,1894150,2007,04/15/2016 08:55:02 AM,41.86545229,-87.72393155,"(41.865452292, -87.723931552)",Yes
8,5542140,HN350236,1/18/07 1:30 PM,077XX S INGLESIDE AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,Medium,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,624,6,8,69,08A,1183899,1853859,2007,04/15/2016 08:55:02 AM,41.75416869,-87.60163576,"(41.754168689, -87.601635756)",Yes
9,5542141,HN352420,1/17/07 9:00 AM,036XX S ROCKWELL ST,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,FALSE,913,9,12,58,6,1159624,1880571,2007,04/15/2016 08:55:02 AM,41.82800213,-87.68986323,"(41.828002125, -87.689863226)",No
10,5542142,HN350451,1/18/07 3:30 PM,076XX S EMERALD AVE,460,BATTERY,SIMPLE,Low,STREET,FALSE,TRUE,621,6,17,71,08B,1172628,1854114,2007,04/15/2016 08:55:02 AM,41.75512406,-87.64293259,"(41.755124062, -87.642932591)",No
11,5542143,HN352131,1/19/07 12:00 PM,075XX S RACINE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,612,6,17,71,08B,1169626,1854847,2007,04/15/2016 08:55:02 AM,41.75720109,-87.65391288,"(41.757201092, -87.653912882)",No
12,5542145,HN352145,1/19/07 11:28 AM,050XX S WINCHESTER AVE,2027,NARCOTICS,POSS: CRACK,High,RESIDENCE,TRUE,FALSE,915,9,16,61,18,1164206,1871197,2007,04/15/2016 08:55:02 AM,41.80218339,-87.67331649,"(41.802183389, -87.673316489)",Yes
13,5542146,HN348554,1/17/07 5:30 PM,015XX S AVERS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1014,10,24,29,18,1150965,1892132,2007,04/15/2016 08:55:02 AM,41.85990055,-87.72133018,"(41.859900549, -87.721330178)",Yes
14,5542147,HN352209,1/19/07 12:45 PM,077XX S NORMAL AVE,560,ASSAULT,SIMPLE,Low,APARTMENT,FALSE,FALSE,621,6,17,69,08A,1174301,1853695,2007,04/15/2016 08:55:02 AM,41.75393727,-87.63681395,"(41.753937269, -87.636813954)",No
15,5542148,HN353844,1/19/07 11:00 PM,115XX S THROOP ST,890,THEFT,FROM BUILDING,Medium,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,524,5,34,53,6,1169731,1828342,2007,04/15/2016 08:55:02 AM,41.68446515,-87.65429424,"(41.684465151, -87.654294243)",No
16,5542150,HN345014,1/15/07 11:33 PM,075XX N GREENVIEW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,TRUE,TRUE,2422,24,49,1,08B,1164983,1950033,2007,04/15/2016 08:55:02 AM,42.01849822,-87.66822494,"(42.018498222, -87.668224937)",No
17,5542151,HN352233,1/19/07 12:40 PM,094XX S HARVARD AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,FALSE,FALSE,634,6,21,49,04B,1175663,1842173,2007,04/15/2016 08:55:02 AM,41.72228906,-87.63216672,"(41.722289061, -87.632166722)",Yes
18,5542260,HN351974,1/19/07 10:46 AM,016XX W HOWARD ST,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,2422,24,49,1,08B,1164097,1950345,2007,04/15/2016 08:55:02 AM,42.0193732,-87.67147638,"(42.019373201, -87.671476382)",No
19,5542153,HN353055,1/19/07 9:40 PM,002XX S KILPATRICK AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,1113,11,28,25,08B,1145093,1898559,2007,04/15/2016 08:55:02 AM,41.87764988,-87.74272258,"(41.877649878, -87.74272258)",No
20,5542154,HN349288,1/18/07 1:36 AM,070XX N SHERIDAN RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,TRUE,TRUE,2423,24,49,1,08B,1166538,1947205,2007,04/15/2016 08:55:02 AM,42.01070485,-87.66258437,"(42.010704854, -87.662584365)",No
21,5542156,HN353845,1/19/07 10:30 PM,029XX N DAWSON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1412,14,35,21,14,1153483,1919503,2007,04/15/2016 08:55:02 AM,41.93495957,-87.71135886,"(41.934959567, -87.711358856)",Yes
22,5542157,HN350132,1/18/07 1:16 PM,017XX W HOWARD ST,860,THEFT,RETAIL THEFT,High,GROCERY FOOD STORE,TRUE,FALSE,2422,24,49,1,6,1163126,1950347,2007,04/15/2016 08:55:02 AM,42.01939924,-87.67504949,"(42.019399237, -87.675049485)",Yes
23,5542158,HN351852,1/19/07 9:05 AM,002XX W 28TH PL,850,THEFT,ATTEMPT THEFT,Low,STREET,FALSE,FALSE,2113,9,11,34,6,1174973,1886012,2007,04/15/2016 08:55:02 AM,41.8426034,-87.63338697,"(41.842603398, -87.633386965)",No
24,5542159,HN350541,1/14/07 1:00 PM,082XX S LAFLIN ST,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,FALSE,614,6,21,71,6,1167771,1850039,2007,04/15/2016 08:55:02 AM,41.74404728,-87.6608489,"(41.744047275, -87.660848899)",No
25,5542161,HN344706,1/15/07 7:15 PM,027XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,CHA PARKING LOT/GROUNDS,TRUE,FALSE,2113,1,3,35,18,1176731,1886507,2007,04/15/2016 08:55:02 AM,41.84392222,-87.6269207,"(41.843922218, -87.6269207)",Yes
26,5542162,HN351611,1/19/07 3:45 AM,043XX W MAYPOLE AVE,460,BATTERY,SIMPLE,Low,STREET,FALSE,TRUE,1114,11,28,26,08B,1147256,1901098,2007,04/15/2016 08:55:02 AM,41.88457607,-87.7347155,"(41.884576068, -87.734715497)",No
27,5542164,HN350946,1/18/07 7:15 PM,082XX S WENTWORTH AVE,2820,BATTERY,TELEPHONE THREAT,Low,RESIDENCE,FALSE,TRUE,622,6,21,44,26,1176423,1850294,2007,04/15/2016 08:55:02 AM,41.74455711,-87.62913959,"(41.744557108, -87.629139587)",No
28,5542165,HN352147,1/19/07 12:00 PM,050XX S WINCHESTER AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,Low,RESIDENCE,TRUE,FALSE,915,9,16,61,18,1164206,1871197,2007,04/15/2016 08:55:02 AM,41.80218339,-87.67331649,"(41.802183389, -87.673316489)",No
29,5542166,HN353843,1/19/07 8:30 PM,021XX N LINCOLN AVE,820,THEFT,$500 AND UNDER,Low,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1812,18,43,7,6,1172216,1914589,2007,04/15/2016 08:55:02 AM,41.92108177,-87.64266036,"(41.921081767, -87.642660358)",No
30,5542167,HN353855,1/19/07 3:00 PM,008XX N RUSH ST,890,THEFT,FROM BUILDING,Medium,RESTAURANT,FALSE,FALSE,1833,18,42,8,6,1176870,1905928,2007,04/15/2016 08:55:02 AM,41.89721149,-87.62582317,"(41.897211487, -87.625823165)",No
31,10513401,HZ254739,1/6/16 9:30 PM,064XX S WASHTENAW AVE,810,THEFT,OVER $500,High,APARTMENT,FALSE,TRUE,825,8,15,66,6,1159484,1861842,2016,05/13/2016 03:51:16 PM,41.77661019,-87.69089047,"(41.776610188, -87.69089047)",Yes
32,5542168,HN352247,1/19/07 11:34 AM,017XX W 77TH ST,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,High,STREET,FALSE,FALSE,611,6,17,71,04A,1166136,1853636,2007,04/15/2016 08:55:02 AM,41.75395286,-87.66673761,"(41.753952863, -87.666737605)",Yes
33,5542169,HN352500,1/19/07 4:40 PM,069XX N ASHLAND BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,TRUE,TRUE,2431,24,49,1,08B,1164515,1946346,2007,04/15/2016 08:55:02 AM,42.008391,-87.67005222,"(42.008390996, -87.670052222)",No
34,5542170,HN337577,1/12/07 3:00 AM,008XX W RANDOLPH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1212,12,27,28,18,1170907,1901211,2007,04/15/2016 08:55:02 AM,41.88440059,-87.64786265,"(41.884400587, -87.647862653)",Yes
35,5542172,HN353644,1/20/07 5:50 AM,039XX N SHERIDAN RD,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,High,CTA TRAIN,FALSE,FALSE,2324,19,44,6,04B,1168891,1926517,2007,04/15/2016 08:55:02 AM,41.95388558,-87.65453007,"(41.953885576, -87.65453007)",Yes
36,5542174,HN352199,1/18/07 9:00 PM,021XX W FARGO AVE,890,THEFT,FROM BUILDING,Medium,APARTMENT,FALSE,FALSE,2424,24,49,1,6,1160881,1949269,2007,04/15/2016 08:55:02 AM,42.01648826,-87.68334095,"(42.016488262, -87.683340945)",No
37,5542175,HN350057,1/17/07 6:00 PM,065XX N KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,2412,24,50,2,08B,1153854,1943085,2007,04/15/2016 08:55:02 AM,41.99966262,-87.70936426,"(41.999662622, -87.709364259)",No
38,5542176,HN351995,1/13/07 11:00 PM,029XX W ADAMS ST,560,ASSAULT,SIMPLE,Low,SIDEWALK,FALSE,FALSE,1124,11,2,27,08A,1156737,1898880,2007,04/15/2016 08:55:02 AM,41.8783029,-87.69995989,"(41.8783029, -87.699959894)",No
39,5542180,HN352310,1/19/07 1:55 PM,039XX W MADISON ST,560,ASSAULT,SIMPLE,Low,CTA BUS,FALSE,FALSE,1122,11,28,26,08A,1150223,1899725,2007,04/15/2016 08:55:02 AM,41.8807511,-87.72385598,"(41.880751096, -87.723855981)",No
40,5542181,HN352274,1/19/07 1:20 PM,085XX S COTTAGE GROVE AVE,860,THEFT,RETAIL THEFT,High,DEPARTMENT STORE,TRUE,FALSE,632,6,6,44,6,1183056,1848421,2007,04/15/2016 08:55:02 AM,41.73926587,-87.60489375,"(41.739265865, -87.604893749)",Yes
41,5542182,HN350145,1/18/07 1:05 PM,064XX N DAMEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,TRUE,TRUE,2412,24,50,2,08B,1161793,1942807,2007,04/15/2016 08:55:02 AM,41.99873731,-87.68016646,"(41.998737314, -87.680166462)",No
42,5542185,HN351077,1/18/07 9:10 PM,081XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,622,6,21,44,14,1175699,1851057,2007,04/15/2016 08:55:02 AM,41.7466671,-87.63176961,"(41.746667103, -87.631769608)",Yes
43,5542186,HN352349,1/19/07 2:20 PM,043XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,Low,STREET,FALSE,FALSE,2123,2,4,39,6,1182923,1876401,2007,04/15/2016 08:55:02 AM,41.81604867,-87.60451221,"(41.816048668, -87.604512209)",No
44,5542188,HN352226,1/19/07 7:00 AM,074XX N ROGERS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,2422,24,49,1,08B,1163269,1949243,2007,04/15/2016 08:55:02 AM,42.01636682,-87.67455453,"(42.016366822, -87.67455453)",No
45,5542189,HN351877,1/19/07 9:00 AM,008XX N MONTICELLO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,1112,11,27,23,08B,1151896,1905429,2007,04/15/2016 08:55:02 AM,41.89637069,-87.71756252,"(41.896370692, -87.717562519)",No
46,5542190,HN353868,2/16/07 12:00 AM,069XX S KIMBARK AVE,2820,BATTERY,TELEPHONE THREAT,Low,RESIDENCE,FALSE,FALSE,321,3,5,69,26,1185933,1859238,2007,04/15/2016 08:55:02 AM,41.76888146,-87.59401249,"(41.768881458, -87.594012485)",No
47,5542191,HN353424,1/20/07 2:25 AM,035XX N LINCOLN AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,RESTAURANT,TRUE,FALSE,1923,19,32,6,04B,1163870,1923601,2007,04/15/2016 08:55:02 AM,41.94599157,-87.67307036,"(41.945991574, -87.673070358)",Yes
48,5542192,HN353730,1/19/07 2:00 AM,007XX W 117TH PL,560,ASSAULT,SIMPLE,Low,RESTAURANT,FALSE,FALSE,524,5,34,53,08A,1173339,1827020,2007,04/15/2016 08:55:02 AM,41.68075857,-87.64112529,"(41.680758574, -87.64112529)",No
49,5542194,HN353307,1/20/07 1:02 AM,067XX N SHERIDAN RD,320,THEFT,STRONGARM - NO WEAPON,Medium,STREET,FALSE,FALSE,2432,24,49,1,3,1167027,1944983,2007,04/15/2016 08:55:02 AM,42.00459713,-87.66084938,"(42.004597125, -87.660849375)",No
50,5542195,HN352144,1/19/07 1:00 AM,007XX N DRAKE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,1121,11,27,23,08B,1152581,1904749,2007,04/15/2016 08:55:02 AM,41.89449119,-87.71506462,"(41.894491187, -87.715064623)",No
51,5542196,HN351252,1/18/07 10:00 PM,080XX S ELLIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,FALSE,FALSE,631,6,8,44,14,1184289,1851951,2007,04/15/2016 08:55:02 AM,41.74892383,-87.60026612,"(41.748923831, -87.600266124)",Yes
52,5542197,HN349795,1/18/07 10:27 AM,059XX N WINTHROP AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,2433,24,48,77,08B,1167781,1939816,2007,04/15/2016 08:55:02 AM,41.9904025,-87.65822528,"(41.990402496, -87.658225275)",No
53,5542199,HN351300,1/18/07 11:15 PM,076XX S DREXEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,FALSE,TRUE,624,6,6,69,14,1183555,1854556,2007,04/15/2016 08:55:02 AM,41.75608935,-87.6028747,"(41.75608935, -87.602874702)",Yes
54,5542203,HN353821,1/19/07 10:30 PM,043XX S KEELER AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,High,STREET,FALSE,FALSE,815,8,14,57,14,1149067,1875623,2007,04/15/2016 08:55:02 AM,41.81463457,-87.72872383,"(41.814634569, -87.728723834)",Yes
55,5542205,HN353770,1/19/07 8:00 PM,020XX W BERWYN AVE,620,BURGLARY,UNLAWFUL ENTRY,Low,RESIDENCE-GARAGE,FALSE,FALSE,2012,20,40,4,5,1161755,1935189,2007,04/15/2016 08:55:02 AM,41.97783405,-87.68051987,"(41.977834047, -87.680519867)",No
56,5542207,HN349868,1/18/07 9:15 AM,029XX S WABASH AVE,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,RESIDENCE,FALSE,FALSE,2113,1,2,35,26,1177205,1885463,2007,04/15/2016 08:55:02 AM,41.84104669,-87.62521282,"(41.841046694, -87.625212818)",No
57,5542208,HN352130,1/19/07 3:00 AM,038XX W MAYPOLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1122,11,28,26,14,1150666,1900938,2007,04/15/2016 08:55:02 AM,41.88407105,-87.72219759,"(41.884071054, -87.722197591)",Yes
58,5542209,HN351316,1/18/07 11:15 PM,080XX S INGLESIDE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,631,6,8,44,08B,1183960,1851861,2007,04/15/2016 08:55:02 AM,41.74868455,-87.6014745,"(41.748684547, -87.601474495)",No
59,5542211,HN351505,1/19/07 1:41 AM,065XX N SHERIDAN RD,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,2432,24,49,1,08B,1167056,1944115,2007,04/15/2016 08:55:02 AM,42.00221469,-87.66076777,"(42.002214693, -87.660767769)",No
60,5542212,HN353635,1/20/07 5:45 AM,010XX W WILSON AVE,820,THEFT,$500 AND UNDER,Low,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2312,19,46,3,6,1168668,1930721,2007,04/15/2016 08:55:02 AM,41.96542634,-87.65522754,"(41.965426344, -87.655227542)",No
61,5542213,HN352304,1/19/07 1:15 PM,075XX S PARNELL AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,FALSE,FALSE,621,6,17,69,04B,1173852,1854934,2007,04/15/2016 08:55:02 AM,41.7573472,-87.63842271,"(41.757347201, -87.638422705)",Yes
62,5542215,HN353539,1/20/07 3:39 AM,047XX N LINCOLN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1911,19,47,4,14,1159697,1931599,2007,04/15/2016 08:55:02 AM,41.96802571,-87.68818757,"(41.968025707, -87.688187568)",Yes
63,5542216,HN353683,1/20/07 6:20 AM,048XX W CHICAGO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,SIDEWALK,FALSE,TRUE,1531,15,37,25,08B,1143839,1904870,2007,04/15/2016 08:55:02 AM,41.8949916,-87.74716871,"(41.8949916, -87.747168713)",No
64,5542217,HN353866,1/20/07 12:30 AM,054XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESTAURANT,FALSE,FALSE,232,2,3,40,14,1177201,1868913,2007,04/15/2016 08:55:02 AM,41.79563217,-87.62572763,"(41.795632168, -87.625727629)",Yes
65,5542218,HN353879,1/19/07 5:00 PM,002XX W 110TH ST,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,TRUE,513,5,34,49,6,1176634,1831995,2007,04/15/2016 08:55:02 AM,41.69433744,-87.62891507,"(41.694337444, -87.628915069)",No
66,5542220,HN353877,1/19/07 11:30 AM,051XX S PULASKI RD,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,815,8,23,62,6,1150563,1870470,2007,04/15/2016 08:55:02 AM,41.80046498,-87.7233704,"(41.800464977, -87.723370404)",Yes
67,5542223,HN351385,1/18/07 6:00 PM,007XX E 91ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE,FALSE,FALSE,633,6,6,44,14,1182741,1844465,2007,04/15/2016 08:55:02 AM,41.72841746,-87.6061703,"(41.728417459, -87.606170298)",Yes
68,5542224,HN351763,1/19/07 7:30 AM,011XX N CENTRAL PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,STREET,FALSE,TRUE,1112,11,27,23,14,1152164,1907375,2007,04/15/2016 08:55:02 AM,41.90170542,-87.71652681,"(41.901705423, -87.716526812)",Yes
69,5542225,HN352462,1/18/07 2:55 PM,086XX S DAMEN AVE,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,High,SIDEWALK,FALSE,FALSE,614,6,18,71,04B,1164524,1847428,2007,04/15/2016 08:55:02 AM,41.73695132,-87.67281969,"(41.736951316, -87.672819691)",Yes
70,5542226,HN353885,1/20/07 10:45 AM,040XX W POTOMAC AVE,810,THEFT,OVER $500,High,RESIDENCE,FALSE,TRUE,2534,25,27,23,6,1149144,1908355,2007,04/15/2016 08:55:02 AM,41.90445369,-87.7275943,"(41.904453691, -87.727594301)",Yes
71,5542227,HN351662,1/19/07 4:47 AM,064XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESTAURANT,FALSE,FALSE,2432,24,40,1,14,1164370,1942683,2007,04/15/2016 08:55:02 AM,41.99834272,-87.67069002,"(41.998342722, -87.670690018)",Yes
72,5542228,HN349081,1/1/07 4:00 PM,046XX N MARINE DR,890,THEFT,FROM BUILDING,Medium,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,2312,19,46,3,6,1170399,1931093,2007,04/15/2016 08:55:02 AM,41.96640935,-87.64885216,"(41.966409353, -87.648852157)",No
73,5542229,HN351805,1/19/07 8:44 AM,001XX N CENTRAL AVE,820,THEFT,$500 AND UNDER,Low,APARTMENT,TRUE,FALSE,1523,15,29,25,6,1139026,1900455,2007,04/15/2016 08:55:02 AM,41.88296515,-87.76495324,"(41.882965153, -87.764953242)",No
74,5542230,HN347619,1/17/07 10:18 AM,021XX W GREENLEAF AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,2411,24,50,2,14,1160504,1946920,2007,04/15/2016 08:55:02 AM,42.01005039,-87.68479369,"(42.010050393, -87.684793685)",Yes
75,5542231,HN351957,1/13/07 4:30 PM,035XX W JACKSON BLVD,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,1133,11,28,27,08B,1152786,1898459,2007,04/15/2016 08:55:02 AM,41.87722673,-87.71447831,"(41.877226725, -87.714478312)",No
76,5542233,HN351481,1/19/07 1:22 AM,086XX S BISHOP ST,460,BATTERY,SIMPLE,Low,STREET,FALSE,TRUE,614,6,21,71,08B,1168171,1847551,2007,04/15/2016 08:55:02 AM,41.73721126,-87.65945464,"(41.737211261, -87.659454644)",No
77,5542234,HN347528,1/17/07 9:28 AM,066XX N BOSWORTH AVE,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2432,24,40,1,08B,1164737,1944193,2007,04/15/2016 08:55:02 AM,42.0024784,-87.66929687,"(42.002478396, -87.66929687)",No
78,5542238,HN338089,1/11/07 10:45 AM,032XX W ADAMS ST,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1124,11,28,27,08B,1154752,1898890,2007,04/15/2016 08:55:02 AM,41.87837031,-87.70724814,"(41.878370307, -87.707248137)",No
79,5542240,HN353475,1/20/07 3:00 AM,009XX N PARKSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,FALSE,FALSE,1511,15,29,25,14,1138513,1905804,2007,04/15/2016 08:55:02 AM,41.89765279,-87.76670732,"(41.897652794, -87.766707323)",Yes
80,5542241,HN346273,1/14/07 5:00 PM,042XX W CARROLL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,FALSE,1114,11,28,26,08B,1147962,1901959,2007,04/15/2016 08:55:02 AM,41.88692521,-87.73210079,"(41.886925205, -87.732100792)",No
81,5542242,HN351535,1/18/07 2:45 PM,078XX S INDIANA AVE,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,FALSE,623,6,6,69,6,1178951,1853045,2007,04/15/2016 08:55:02 AM,41.75204903,-87.61979315,"(41.752049027, -87.619793146)",No
82,5542243,HN344041,1/15/07 11:40 AM,034XX S PRAIRIE AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,Low,RESIDENCE,FALSE,FALSE,2112,2,3,35,5,1178497,1882206,2007,04/15/2016 08:55:02 AM,41.83207992,-87.62057087,"(41.832079917, -87.620570871)",No
83,5542244,HN349889,1/18/07 11:22 AM,016XX W MORSE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,2431,24,49,1,08B,1164302,1946138,2007,04/15/2016 08:55:02 AM,42.00782477,-87.67084182,"(42.007824765, -87.670841822)",No
84,5542245,HN352463,1/19/07 2:33 PM,059XX S CARPENTER ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,Medium,SIDEWALK,TRUE,FALSE,712,7,16,68,08A,1170327,1865469,2007,04/15/2016 08:55:02 AM,41.78633394,-87.651035,"(41.786333944, -87.651034999)",Yes
85,5542246,HN353809,1/19/07 7:00 PM,013XX N WELLS ST,820,THEFT,$500 AND UNDER,Low,STREET,FALSE,FALSE,1821,18,43,8,6,1174455,1909496,2007,04/15/2016 08:55:02 AM,41.90705657,-87.63458629,"(41.907056567, -87.634586291)",No
86,5542247,HN353318,1/20/07 1:15 AM,047XX W JACKSON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,1131,11,24,25,08B,1144928,1898273,2007,04/15/2016 08:55:02 AM,41.87686817,-87.74333564,"(41.876868173, -87.743335643)",No
87,5542248,HN349672,1/18/07 9:42 AM,067XX N WASHTENAW AVE,560,ASSAULT,SIMPLE,Low,"SCHOOL, PRIVATE, GROUNDS",FALSE,FALSE,2412,24,50,2,08A,1157107,1944548,2007,04/15/2016 08:55:02 AM,42.00361148,-87.69735728,"(42.003611477, -87.697357279)",No
88,5542249,HN351152,1/18/07 9:50 PM,048XX W ADAMS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,1533,15,28,25,08B,1144127,1898893,2007,04/15/2016 08:55:02 AM,41.8785846,-87.74626114,"(41.878584601, -87.746261135)",No
89,5542250,HN351553,1/19/07 2:15 AM,072XX S MARSHFIELD AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,STREET,FALSE,FALSE,735,7,17,67,04B,1166593,1856799,2007,04/15/2016 08:55:02 AM,41.76262284,-87.6649728,"(41.76262284, -87.664972796)",Yes
90,5542252,HN352090,1/19/07 11:33 AM,062XX N WESTERN AVE,890,THEFT,FROM BUILDING,Medium,RESTAURANT,FALSE,FALSE,2413,24,50,2,6,1159190,1941308,2007,04/15/2016 08:55:02 AM,41.99467809,-87.68978355,"(41.99467809, -87.689783551)",No
91,5542253,HN349948,1/16/07 9:00 AM,015XX W MORSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,2431,24,49,1,14,1164922,1946157,2007,04/15/2016 08:55:02 AM,42.00786371,-87.66856017,"(42.007863713, -87.668560171)",Yes
